listing_id,name,host_id,host_name,host_is_superhost,host_listings_count,host_tenure_years,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price_clean,availability_365,calendar_days,available_days,unavailable_days,availability_rate,occupancy_proxy,number_of_reviews,total_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,estimated_revenue_proxy,superhost_status,price_status,review_status,availability_rate_pct,occupancy_proxy_pct,host_portfolio_segment
1181716379303902771,Bright 1930s apartment,2197258,Iris,False,1.0,14.16,De Baarsjes - Oud-West,52.36134,4.85304,Entire rental unit,Entire home/apt,2,1.0,1.0,190.0,309,365,309,56,0.8466,0.1534,1,1.0,5.0,5.0,5.0,5.0,10640.0,Non-Superhost,Available Price,Has Reviews,84.66,15.340000000000002,Single-listing host
1181717754509516888,Mijn Sous,584191828,Eva,False,1.0,2.01,Centrum-Oost,52.36208,4.89101,Entire loft,Entire home/apt,2,1.0,,,129,365,129,236,0.3534,0.6466,11,11.0,4.91,4.82,4.91,5.0,,Non-Superhost,Missing Price,Has Reviews,35.339999999999996,64.66,Single-listing host
1181734547426106835,Knus één slaapkamer appartement,268538222,Iris,False,1.0,7.02,Westerpark,52.3771420792808,4.87514322423515,Entire rental unit,Entire home/apt,2,1.0,1.0,210.0,74,365,74,291,0.2027,0.7973,2,2.0,5.0,5.0,5.0,5.0,61110.0,Non-Superhost,Available Price,Has Reviews,20.27,79.73,Single-listing host
1181796264779445067,Entire family home in Amsterdam,43745391,Laura,False,1.0,10.78,De Baarsjes - Oud-West,52.3670689,4.8634672,Entire home,Entire home/apt,6,3.0,,,0,365,0,365,0.0,1.0,0,,,,,,,Non-Superhost,Missing Price,No Reviews,0.0,100.0,Single-listing host
1181937532056199052,Family apartment with garden in Amsterdam Noord,3188645,Lotje,False,1.0,13.87,Noord-West,52.40549,4.89848,Entire rental unit,Entire home/apt,4,3.0,3.0,167.0,20,365,20,345,0.0548,0.9452,9,9.0,4.78,4.89,4.89,4.89,57615.0,Non-Superhost,Available Price,Has Reviews,5.48,94.52000000000001,Single-listing host
1181981878243958595,Appartement in Amsterdam-West met 1 kingsize bed,33753468,Matthijs,False,1.0,11.09,De Baarsjes - Oud-West,52.36815199999999,4.852335,Entire condo,Entire home/apt,2,1.0,,,0,365,0,365,0.0,1.0,12,12.0,5.0,4.92,4.83,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1181997087982378544,Appartement in de Pijp,65511298,Sanne,False,1.0,10.22,De Pijp - Rivierenbuurt,52.35006,4.90228,Entire rental unit,Entire home/apt,2,1.0,1.0,250.0,0,365,0,365,0.0,1.0,6,6.0,4.83,4.83,5.0,5.0,91250.0,Non-Superhost,Available Price,Has Reviews,0.0,100.0,Single-listing host
1182324818924813675,Appartement in stadsdeel centrum,83487785,Nadine,False,1.0,9.94,Centrum-Oost,52.36767238690038,4.897859715344222,Entire rental unit,Entire home/apt,6,3.0,,,0,365,0,365,0.0,1.0,4,4.0,5.0,5.0,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1182416526685627115,Casa Sereno,584169173,Yordanos,False,1.0,2.01,Noord-West,52.40871,4.91523,Entire home,Entire home/apt,3,3.0,3.0,270.0,365,365,365,0,1.0,0.0,0,,,,,,0.0,Non-Superhost,Available Price,No Reviews,100.0,0.0,Single-listing host
1183345118316628945,Beautiful home adjacent to Vondelpark,78658914,Ward,False,1.0,10.0,De Baarsjes - Oud-West,52.3580035,4.8575884,Entire loft,Entire home/apt,4,2.0,2.0,500.0,362,365,362,3,0.9918,0.0082,11,11.0,4.82,4.82,5.0,4.82,1500.0,Non-Superhost,Available Price,Has Reviews,99.18,0.8200000000000001,Single-listing host
1183855225518486613,Westerpark Appartement,525586502,Wartan,False,1.0,2.94,Westerpark,52.3861,4.88243,Entire rental unit,Entire home/apt,2,2.0,,,0,365,0,365,0.0,1.0,0,,,,,,,Non-Superhost,Missing Price,No Reviews,0.0,100.0,Single-listing host
1183911401666607586,Stylish apartment in Amsterdam,95530747,Joris,False,1.0,9.76,Oud-Oost,52.35361534374444,4.9180457384219,Entire rental unit,Entire home/apt,2,1.0,1.0,204.0,26,365,26,339,0.0712,0.9288,3,3.0,5.0,4.67,5.0,5.0,69156.0,Non-Superhost,Available Price,Has Reviews,7.12,92.88,Single-listing host
1183961838630157317,Luxury Family House centre of Amsterdam,1553942,Jelle,False,1.0,14.47,Zuid,52.35392432985919,4.878044598950195,Entire home,Entire home/apt,7,3.0,6.0,413.0,40,365,40,325,0.1096,0.8904,1,1.0,5.0,4.0,5.0,5.0,134225.0,Non-Superhost,Available Price,Has Reviews,10.96,89.03999999999999,Single-listing host
1184061975809339566,Apartamento lindo y 3 min del encantador Jordaan,120119854,Ines,False,1.0,9.28,Westerpark,52.374702324554434,4.874324178353498,Entire rental unit,Entire home/apt,2,1.0,1.0,247.0,53,365,53,312,0.1452,0.8548,12,12.0,4.75,4.92,5.0,4.83,77064.0,Non-Superhost,Available Price,Has Reviews,14.52,85.48,Single-listing host
1184293803085561378,Amsterdam cannel apartment,584678723,Florian,False,1.0,2.0,Oud-Oost,52.36505349999999,4.9255661,Entire rental unit,Entire home/apt,4,2.0,2.0,320.0,358,365,358,7,0.9808,0.0192,0,,,,,,2240.0,Non-Superhost,Available Price,No Reviews,98.08,1.92,Single-listing host
